Original name of syllabus PDF,Course Title,Course Professors,Year the Course was taught,"Term (Spring, Winter, etc) the Course was Taught",University where this course was taught,Person in charge of digitizing this syllabus
DEV 101_ECON 2326_PED 101 - 2025 Fall (170665) (1).pdf,ECONOMIC DEVELOPMENT: THEORY AND EVIDENCE DEV-101,Eliana La Ferrara; La Ferrara; Christine Dziuba; Dani Rodrik; Jessica De Simone;  ** Buera; F; J Kaboski; R Townsend;  ** Duflo; E; D Thomas;  ** Beaman; Lori;  ** Duflo; Esther;  ** Jensen; Robert; N N Ashraf; C Bau; K Low; Mcginn; Rebecca  Dizon-Ross; Erica Field; Attila Ambrus; Kremer; Conner Michael; Rachel Brannen; Glennerster; Emily Oster; Bryce Millett Steinberg; Emma Riley;  ** La Ferrara; Eliana; Alberto Chong; Suzanne Duryea; L  * Corno; N Hildebrandt; A Voena; Kiminori  * Matsuyama; De Vries; Marcel Klaas; Timmer; Abhijit Banerjee; Esther Duflo; Joan Hicks; Marieke Hamory; Nicholas Y Kleemans; Edward Li; Miguel; Bartelsman; John Eric; Stefano Haltiwanger; Scarpetta; Daron Acemoglu; Philippe Aghion; Fabrizio Zilibotti; Philippe Aghion; Robin Burgess; Stephen Redding; Fabrizio Zilibotti; Ricardo Hausmann; Jason Hwang; Dani Rodrik;  ** Hausmann; Ricardo; Dani Rodrik;  ** Murphy; Kevin M; Andrei Shleifer; Robert W Vishny; Jeremy R Magruder; Dani Rodrik;  Rosenstein-Rodan; N Paul; Ulyssea; Gabriel; Ana Cusolito; William F Paula; Maloney;  ** Ray; Debraj;  * Le Rossignol; Etienne; Sara Lowes; Eduardo Montero; Beaman; Lori; Konrad B Burchardi; Shawn A Cole; A Nilesh Fernando; Timothy G Conley; Christopher R Udry; Markus Goldstein; Christopher Udry; Douglas Gollin;  ** Juhasz; Nathan Reka; Dani Lane; Rodrik; Dani Rodrik; Rohan Sandhu; Dani Rodrik; Ernest Liu; Ciara Criscuolo; Ralf Martin; Henry G Overman; John Van Reenen; Nathan Lane; Kalouptsidi; Myrtro; Charles Sabel; Arkebe Oqubay; Ghezzi; Piero;  ** Rodrik; Dani; Raghuram G  * Rajan; Arvind Subramanian; R G Lipsey; Kelvin Lancaster; Dani Rodrik;  ** Balboni; Clare;  ** Mani; Anandi; Kaur; Supreet;  ** Rodrik; Dani;  ** Rodrik; Dani;  ** Acemoglu; Daron; James A Robinson; Ben  * Olken; Rohini Pande; Grief; Avner; Joseph E Stiglitz; Sharun Mukand; Dani Rodrik; Greif; Avner; Dani Rodrik; David Stasavage; John L Campbell; Jal Mehta; Stigler; J George; Anne O Krueger; Sharun Mukand; Dani Rodrik;  ** Bursztyn; Leonardo; Alessandra González; David Yanagizawa-Drott; Charles  * Efferson; Cristina Bicchieri; Ryan Muldoon; Alessandro Sontuoso; Gulesci; Selim; Jonas Hjort; Diana Moreira; Gautam Rao; Juan Santini; Abhijit Banerjee; Rukmini Banerji; James Berry; Esther Duflo; Harini Kannan; Shobhini Mukerji; Marc Shotland; Michael Walton; Eva Vivalt; S Chassang; S Kapon,2025,Fall,Harvard University,Lila
Econ 544 Syllabus 2021 Claudio Ferraz.pdf,"Econ 544: Political Economy and Institutions Professor Claudio Ferraz Spring 2021 Tuesdays and Thursdays, 11:00-12:30",Pedro Pessoa; Daron Acemoglu; James Robinson; Tim Besley; Gene Grossman; Elhanan Helpman; Torsten Persson; Guido Tabellini; Barry Weingast; Donald Wittman; D Acemoglu; S Johnson; J A Robinson; M Dell; N Nunn; James Tedtalk; Robinson; Daron Acemoglu; James A Robinson; Daron Acemoglu; James Robinson; Lizzeri Alessandro; Nicola Persico; ; Aidt; Toke S Jensen; Peter S; Toke S Aidt; Raphael Franck; Markus Brückner; Antonio Ciccone; Daron Acemoglu; & James; A Robinson; María Bautista; Angélica; Claudio Ferraz; Frederico Finan; Monica Martinez-Bravo; N Fuchs-Schündeln; Matthias Schündeln; Monica Martinez-Bravo; Priya Mukherjee; Andreas Stegmann; Felipe Gonzalez; *) Hsieh; Chang - Tai; Edward Miguel; Daniel Ortega; Francisco Rodriguez; N Lane; Donald Wittman; Daron Acemoglu; Naidu; Suresh; Restrepo; James A Robinson; Robin Burgess; Remi Jedwab; Edward Miguel; Robin Harding; David Stasavage; Masayuki Kudamatsu; Michael Ross; D Stasavage; Timothy Besley; Torsten Persson; Daniel M Sturm; Leonardo Burztyn; Elisabeth Cascio; Ebonya Washington; Thomas Fujiwara; Miriam Golden; Brian Min; Sonia Bhalotra; Irma Clots-Figueras; Irma Clots-Figueras; R Chattopadhyaym; E Duflo; S Gulzar; N Haas; B Pasquale; Daron Acemoglu; Georgy Egorov; Konstantin Sonin; Timothy Besley; Fernanda Brollo; Roberto Tomassonannicini; Guido Perotti; Tabellini; Francesco Caselli; Massimo Morelli; K Casey; A B Kamara; N Meriggi; Dal Bó; Frederico Ernesto; Olle Finan; Torsten Folke; Johanna Persson; Rickne; Dal Bó; Ernesto; Frederico Finan; Stefano Gagliarducci; Tommaso Nannicini; Saad Gulzar; Muhammad Yasir Khan; Feddersen; Thomas Fujiwara; Kyle Meng; Tom Vogl; Patricia Funk; Alan Gerber; Donald Green; Christopher Larimer; Mitchell Hoffman; Gianmarco León; María Lombardi; Kevin Milligan; Enrico Moretti; Philip Oreopoulos; E Washington; A L De La; B Enke; S D Levitt; J M Snyder; Marco Manacorda; Edward Miguel; Andrea Vigorito; A Akhmedov; E Zhuravskaya; Jim Alt; E Bueno De Mesquita; Shanna Rose; Timothy Besley; Robin Burgess; Ernesto Dalbó; Martín Rossi; A Drazen; Claudio Ferraz; Frederico Finan; Claudio Ferraz; Fred Finan; Daron; Tristan Reed; James Robinson; Siwan Anderson; Patrick Francois; Ashok Kotwal; Jean-Marie Baland; James A Robinson; Emanuele Colonnelli; Mounu Prem; Edoardo Teso; Cesi Cruz; Julienne Labonne; Pablo Querubin; Frederico Finan; Laura Schechter; Thomas Fujiwara; Leonard Wantchekon; Markus Goldstein; Christopher Udry; Philip Keefer; Razvan Vlaicu; Alessandro Lizzeri; Nicola Persico; James Robinson; T Verdier; Pedro Vicente; Daron Acemoglu; Giuseppe De Feo; Giacomo Davide De Luca; Alberto Alesina; Salvatore Piccolo; Paolo Pinotti; Melissa Dell; De Feo; Giuseppe; Giacomo Davide; De Luca; A Dimico; A Isopi; O Olsson; Stergios Skaperdas; Oriana Bandiera; Andrea Prat; Tommaso Valletti; Fernanda Brollo; Tommaso Nannicini; Roberto Perotti; Guido Tabellini; Claudio Ferraz; Frederico Finan; Raymond Fisman; Florian Schulz; Vikrant Vig; Rema Hanna; Shing-Yi Wang; B A Olken; P Barron; Emanuele Colonnelli; Mounu Prem; Claudio ; Ferraz; Frederico ; Finan; Diana B Moreira; Asim Khwaja; Atif Mian; David Schoenherr; Eric Avis; Claudio Ferraz; Frederico Finan; Gustavo Bobonis; Luis R Cámara Fuertes; Rainer Schwabe; Claudio Ferraz; Fred Finan; Benjamin A Olken; Steven Ansolabehere; John De Figueiredo; James Snyder; S Coate; J L Spenkuch; D Toniatti; Austen-Smith; D; Marianne Bertrand; Matilde Bombardini; Francesco Trebbi; Matilde Bombardini; Francesco Trebbi; Matilde Bombardini; Francesco Trebbi; Blanes I Vidal; Jordi; Mirko Draca; Fons-Rosen; Christian; Karam Kang; Gene Grossman; Elhanan Helpman; Pinelopi Goldberg; Giovanni Koujianou; Maggi; Sven Feldmann; Morten Bennedsen; T Besley; R Burgess; T Besley; A Prat; S Dellavigna; E Kaplan; Stefano Dellavigna; Matthew Gentzkow; Ruben Enikopolov; Maria Petrova; Ekaterina Zhuravskaya; M Gentzkow; M Gentzkow; J Shapiro; M Gentzkow; J Shapiro; M Gentzkow; J M Shapiro; M Sinkinson; S Mullainathan; A Shleifer; Andrea Prat; James M Snyder; David Jr; Stromberg; D Stromberg; David Stromberg; David Yanagizawa-Drott; Ruben Enikopolov; Maria Petrova; Ekaterina Zhuravskaya; Brian Knight; Ana Tribin; ; Bessone; Pedro; Filipe Campante; Claudio Ferraz; Pedro Souza; F Campante; R Durante; F Sobbrio; R Enikolopov; A Makarin; M Petrova; O Falck; R Gold; S Heblich; A Gavazza; M Nardotto; T Valletti; M Manacorda; A Tesei; Ro ' Levy; Ee; Dal Bó; Fred Ernesto; Olle Finan; Torsten Folke; Johanna Persson; Rickne,1990,Spring,The Economic Origins of Dictatorship and Democracy,Lila
Logics_Violence_Fall_2025_2-2.pdf,"The Logics of Violence: Rebels, Criminal Groups, and the State Fall 2025 Professor",Beatriz Magaloni; Wallenberg Hall; James D Fearon; David D Laitin; L E Cederman; A Wimmer; B Min; Monica Toft; Yuri M Duffy; Zhukov; N Weidmann; De Figueiredo; J P Rui; Barry R Weingast; J D Fearon; D D Laitin; Paul Collier; Anke Hoeffler; Michael L Ross; Graeme Blair; Darin Christensen; Aaron Rudkin; A Rigterink; Bazzi Samuel; Blattman Christopher; M Humphreys; O Dube; J F Vargas; Graeme Blair; Darin Christensen; Michael Gibilisco; James D Fearon; Stathis N Kalyvas; Laia Balcells; J A Stanton; Johannes Karreth; Jaroslav Tir; Jason Quinn; Madhav Joshi; Aila M Matanock; Sánchez De; La Sierra; R; Mancur Olson; A Hoover Green; Leader Maynard; J; E Hundman; S E Parkinson; I Salehyan; D Siroky; R M Wood; B Valentino; P Huth; D Balch-Lindsay; Matthew Kocher; Thomas B Adam; Stathis N Pepinsky; Kalyvas; Jason ; Lyall; Colin Tucker; R M Wood; J D Kathman; Stathis N Kalyvas; Laia Balcells; Elisabeth Wood; Jean; A Lichtenheld; Francisco Gutiérrez-Sanín; Elisabeth Jean Wood; Ragnhild Nordås; Dara Kay Cohen; Danielle Gilbert; Laia Balcells; Jessica A Stanton; Rebecca Littman; Elizabeth Levy Paluck; Aliza Luft; Roos Haer; Lilli Banholzer; Thomas Elbert; Roland Weierstall; Nicholas Barnes; Richard Snyder; Angélica Durán; Martínez; Benjamin Lessing; Steven D Levitt; Sudhir Venkatesh; Tommy E Murphy; Martín A Rossi; Angélica Durán-Martínez; Ioan Grillo; Arindrajit Dube; Oeindrila Dube; Omar García-Ponce; Maria Sviatschi; Micaela; Juan Castillo; Daniel Camilo; Pascual Mejía; Restrepo; Beatriz Magaloni; Edgar Franco; Vanessa Melo; Benjamin Lessing; Graham Denyer; Willis ; Lessing; Benjamin; Andreas E Feldmann; Juan Pablo; Luna; Christopher Blattman; Gustavo Duncan; Benjamin Lessing; Santiago Tobón; Robert A Blair; Lucía Mendoza-Mora; Michael Weintraub; Gabriela Calderón; Gustavo Robles; Alberto Díaz-Cayeros; Beatriz Magaloni; Gustavo A Flores-Macías; Jessica Zarkin; Jonathan Mummolo; Gbd; Beatriz Magaloni; Luis Rodriguez; Joe Soss; Vesla Weaver ; González; Yanilda; Lindsay Mayka; Joe Soss; Vesla Weaver; Weaver; M Vesla; Dean Knox; Will Lowe; Jonathan Mummolo; Bocar A Ba; Dean Knox; Jonathan Mummolo; Roman Rivera; Dean Knox; Jonathan Mummolo; Noam Lupu; Leonid Peisakhin; Arturas Rozenas; Sebastian Schutte; Yuri Zhukov; De Juan; Alexander; Christian Gläßel; Felix Haass; Adam Scharpf; De Juan; Alexander; Felix Haass; Carlo Koos; Sascha Riaz; Thomas Tichelbaecker; Christian Davenport; Håvard Mokleiv Nygård; Hanne Fjelde; David Armstrong; E J Wood; S Costalli; A Ruggeri; D Hadzic; D Carlson; M Tavits; C Rapp; S Kijewski; M Freitag; Christopher Blattman,2003,Fall,,Ricardy
Los Andes 2020.pdf,The Political Underpinnings of Prosperity and Poverty,Leopoldo Fergusson; Pablo Querubín; James A Robinson; Cesi Cruz; Julien Labonne; Pablo Querubin; Claudio Ferraz; Fred Finan; Monica Martinez-Bravo; Cesi Cruz; Philip Keefer; Julien Labonne; Claudio Ferraz; Frederico Finan; ; Fergusson; Leopoldo & Juan; F Vargas; Mauricio A Vela ; Fergusson; Leopoldo; Arturo Harker; Carlos A Molina; Juan C Yamín; D Fergusson; L Robinson; J A Romero; D Vargas; J F; L Fergusson; Fergusson; James A Leopoldo; Ragnar Robinson; Juan F Torvik; Vargas; Arianna ; Ornaghi; C Lindemans; J W Jiang; T; Leonardo Bursztyn; Alessandra L Gonzalez; David Yanagizawa-Drott ; Bursztyn; Leonardo; Thomas Fujiwara; Amanda Pallais; Davide ; Cantoni; Ruben Durante; Luigi Guiso; Giorgio Gulino; García-Jimeno; James A Camilo; Robinson; Pierre Bourdieu; Seth Zimmerman; Javier Auyero,2020,,Universidad de los Andes,Lila
PED_2018_syllabus.pdf,2018 Political Economy of Development Political Science | Columbia University,Macartan Humphreys; Lindsay Rogers Room; V Abhijit; Esther Banerjee; Duflo; Daron Acemoglu; Simon Johnson; James A Robinson; Abhijit Banerjee; Lakshmi Iyer; Nathan Nunn; Elise Huillery; Daron Acemoglu; Simon Johnson; James A Robinson; C Douglass; Barry R North; Weingast; Mancur Olson; Dictatorship; Democracy; Development; American; Kenneth Scheve; David Stasavage; Sánchez Raúl; La De; Sierra; Dani Rodrik; Arvind Subramanian; Francesco Trebbi; A Kenneth; Shepsle; Alberto Alesina; Dani Rodrik; Jennifer Gandhi; Adam Przeworski; Ben Ansell; David Samuels; Stephan Haggard; Robert R Kaufman; Adam Przeworski; Fernando Limongi; Magaloni Beatriz; Daron Acemoglu; James A Robinson; Noam Lupu; Jonas Pontusson; Kate Baldwin; Daron Acemoglu; Tristan Reed; James A Robinson; Stelios Michalopoulos; Elias Papaioannou; Edward Miguel; Shanker Satyanath; Ernest Sergenti; David Yanagizawa-Drott; Paul Collier; D James; David D Fearon; Laitin; Blattman Christopher; Edward Miguel; Kalyvas Stathis; Erica Field; Sebastian Galiani; Ernesto Schargrodsky; Adam Przeworski; James Raymond Vreeland; William Easterly; Tobias Pfutze; Craig Burnside; David Dollar; Stephen Knack; Ross William Easterly; David Levine; Roodman; Venugopal Rajesh; Lant Pritchett; Justin Sandefur; Michael Callen; Danielle F Clark C Gibson; James D Jung; Long; Karthik Muralidharan; Paul Niehaus; Sandip Sukhtankar; Macartan Humphreys; Jeremy M Weinstein; Catie Snow Bailard; Patrick Francois; Ilia Rainer; Francesco Trebbi; Moses Shayo; Kristin Michelitch; Evan Lieberman; D James; David D Fearon; Laitin; Rogers Brubaker; H Robert; Bates; Gharad Bryan; Shyamal Chowdhury; Ahmed Mushfiq; Mobarak; Alexandra Scacco; Shana S Warren; Cesi Cruz; Julien Labonne; Pablo Querubin; M Jennifer; Janet I Larson; Lewis; Daron Acemoglu; Camilo Garcia-Jimeno; James A Robinson; Fisman Raymond; Timothy Besley; Robin Burgess; Claudio Ferraz; Frederico Finan; Guy Grossman; Kristin Michelitch; Melina R Guy Grossman; Jonathan Platas; Rodden; Rasul Imran; Daniel Rogger; Martina Björkman; Jakob Svensson; Pande Rohini; Lori Beaman; Raghabendra Chattopadhyay; Esther Duflo; Rohini Pande; Petia Topalova; R Rikhil; Bhavnani,2008,Spring,Columbia University,Ricardy
POLS 111 - Spring 2025 - Syllabus - v3.pdf,Political Science 111 Principles of Political Science Emory University Spring 2025 Mon/Wed 11:30am-12:45pm Location: White Hall 208,Luis R Martinez; Benjamin Sylvia; Hao Lyu,2025,Spring,Principles of Political Science Emory University,Ricardy
POLS 585 - State Capacity - Spring 2025 - Syllabus - v2.pdf,Political Science 585 State Capacity,Luis R Martinez; Peter Evans; James Rauch; James Rauch; Peter Evans; Emanuele Colonnelli; Mounu Prem; Edoardo Teso; Jorg Spenkuch; Edoardo Teso; Guo Xu; Abhay Aneja; Guo Xu; Ricardo Dahis; Laura Schiavon; Thiago Scot; Alessandra Fenizia; Hjort Michael; Jonas Szakonyi; David ; -Bandiera; Oriana Best; Michael Khan; Adnan Prat; Andrea,1999,Spring,Emory University,Ricardy
PPHA 41120_The Political Economy of Development_2024_Blattman Montero.pdf,Education and Human Capital Externalities: Evidence from Colonial Benin,Moscona; Nathan Jacob; James A Nunn; Robinson; Wantchekon; Marko Leonard; Natalija Klasnja; Novta; Elise Huillery; Markus Goldstein; Christopher Udry; Paola Giuliano; Nathan Nunn; • (*) Henrich; Joseph; Robert Boyd; Sam Bowles; Colin Camerer; Herbert Gintis; Richard Mcelreath; Ernst Fehr; Rao; Gautam; • (**) Tabellini; Guido; • (*) Greif; Avner; • (*) Greif; Avner; Sara Lowes; Nathan Nunn; James A Robinson; Jonathan Weigel; P Francois; J Zabojnik; Joseph Henrich; Melissa Dell; Nathan Lane; Pablo Querubin; Heldring; Leander; Sascha O Becker; Katrin Boeckh; Christa Hainz; Ludger Woessmann; P • Aghion; Y Algan; P Cahuc; A Shleifer; • (**) Lowes; Sara; Eduardo Montero; Nava Ashraf; Natalie Bau; Nathan Nunn; Alessandra Voena; Marcella • (*) Alsan; Marianne Wanamaker; Marcella • (*) Alsan; Owen Garrick; Grant Graziani; Duman Bahrami-Rad; Natalie Bau; James Ferguson; • (**) Nunn; Nathan; • (*) Kuziemko; Ilyana; Eric Werker; • (*) Easterly; Daniel William; Nathan Berger; Shanker Nunn; Satyanath; • (*) Nunn; Nathan; Nancy Qian,2022,,,Ricardy
Programa.pdf,"ECONOM ÍA POL ÍTICA Pregrado: ECON3743, Maestría: ECON4651",Leopoldo Fergusson; Jonathan B Berk; R Campbell; David Harvey; Hirshleifer; Alberto Abadie; Joshua Angrist; Jörn-Steffen Brigham Frandsen; Pischke; Leopoldo Fergusson; Carlos Molina; Juan Felipe; Riano; ⋆ Rr1 ;; Julieta Peveri; Giulana Pardelli; Allen Hicken; Ezequiel Gonzalez-Ocantos; Chad Kiewiet De Jonge; Carlos Meléndez; Javier Osorio; David W Nickerson; Frederico Finan; Laura Schechter; F; Daniel Hidalgo; Simeon Nichter; Leopoldo Fergusson; Arturo Harker; Carlos Molina; Juan Camilo; Yamín; ⋆ Rr3; Aakaash Rao; Shakked Noy; Ruben Filipe R Campante; Andrea Durante; Tesei; David Bei Qin; Yanhui Strömberg; Wu; Marco Manacorda; Andrea Tesei; Ruben Enikolopov; Alexey Makarin; Maria Petrova; Andreas Madestam; Daniel Shoag; Stan Veuger; David Yanagizawa-Drott; Darin Christensen; Francisco Garfias; Federica Liberini; Michela Redoano; Antonio Russo; Ángel Cuevas; Rubén Cuevas; Karsten Müller; Carlo Schwarz; Daniel Favre; Sebastian Calonico; Matias D Cattaneo; Rocio Titiunik; David S Lee; Thomas Lemieux; Andrew Gelman; Guido Imbens; Justin Mccrary; Andrew Bertoli; Chad Hazlett; Santiago Torres; Leopoldo Fergusson; Pablo Querubin; Nelson A Ruiz; Juan F Vargas; Leopoldo Fergusson; James Robinson; Santiago Torres; Leopoldo Fergusson; Arturo Harker; Carlos Molina; Juan Camilo; Yamín; V Abhijit; Banerjee; Benjamin A Olken; Rohini Pande; Raymond Fisman; Matteo F Ferroni; Miriam Golden; G Diogo; Stefano Britto; Fiorin; Ana José Ramón Morales-Arilla; Ibarra; Leonardo Bursztyn; Georgy Egorov; Stefano Fiorin; Cristina Bicchieri; Marco Giani; Pierre-Guillaume Méon; Christian S Crandall; Jason M Miller; Mark H White; Leonardo Bursztyn; Georgy Egorov; Ingar Haaland; Aakaash Rao; Christopher Roth; Alberto Abadie; Joshua Angrist; Jörn-Steffen Brigham Frandsen; Pischke; Daron Acemoglu; Daron Acemoglu; Thierry Verdier; Daron Acemoglu; Simon Johnson; James A Robinson; Pierre Yared; V Abhijit; Banerjee; Jonathan B Berk; R Campbell; David Harvey; Hirshleifer; Andrew Bertoli; Chad Hazlett; Cristina Bicchieri; G Diogo; Stefano Britto; Fiorin; Leonardo Bursztyn; Georgy Egorov; Ruben Enikolopov; Maria Petrova; Leonardo Bursztyn; Georgy Egorov; Stefano Fiorin; Leonardo Bursztyn; Georgy Egorov; Ingar Haaland; Aakaash Rao; Christopher Roth; Sebastian Calonico; Matias D Cattaneo; Rocio Titiunik; Ruben Filipe R Campante; Andrea Durante; Tesei; Darin Christensen; Francisco Garfias; Christian S Crandall; Jason M Miller; Mark H White; A Deaton; Ruben Enikolopov; Alexey Makarin; Maria Petrova; Leopoldo Fergusson; Carlos Molina; Leopoldo Fergusson; Pablo Querubín; Leopoldo Fergusson; Carlos Molina; Juan Felipe; Riano; Leopoldo Fergusson; Carlos A Molina; James A Robinson; Leopoldo Fergusson; Pablo Querubin; Nelson A Ruiz; Juan F Vargas; Leopoldo Fergusson; Arturo Harker; Carlos Molina; Juan Camilo; Yamín; Leopoldo Fergusson; James Robinson; Santiago Torres; Frederico Finan; Laura Schechter; Raymond Fisman; Matteo F Ferroni; Miriam Golden; Andrew Gelman; Guido Imbens; Marco Giani; Pierre-Guillaume Méon; Ezequiel Gonzalez-Ocantos; Chad Kiewiet De Jonge; Carlos Meléndez; Javier Osorio; David W Nickerson; Allen Hicken; F; Daniel Hidalgo; Simeon Nichter; Paul W Holland; Kosuke Imai; Graeme Blair; Kosuke Imai; Bethany Park; Kenneth F Greene; Guido Imbens; Thomas Lemieux; David S Lee; Thomas Lemieux; Federica Liberini; Michela Redoano; Antonio Russo; Ángel Cuevas; Rubén Cuevas; Zhuang Liu; Wenwei Peng; Shaoda Wang; Andreas Madestam; Daniel Shoag; Stan Veuger; David Yanagizawa-Drott; Marco Manacorda; Andrea Tesei; John Marshall; Justin Mccrary; Ana José Ramón Morales-Arilla; Ibarra; Karsten Müller; Carlo Schwarz; Benjamin A Olken; Rohini Pande; Andrea Prat; David Strömberg; David Bei Qin; Yanhui Strömberg; Wu; Jonathan Roth; Pedro H C Sant'anna; Alyssa Bilinski; John Poe; Santiago Torres,2021,,,Ricardy
Syllabus_6.pdf,2 Modeling of Political Economy 2.1 Review: Static Models (Recitation),Daron Acemoglu; Harold Demsetz; M Taylor; Scott; Robert C Allen; La Porta; Rafael; Lopez-De-Silanes; Florencio; Andrei Shleifer; Robert W Vishny; Acemoglu; Johnson Daron; Simon; Robinson; James A; Daron Acemoglu; Johnson; Simon Robinson; James; Melissa Dell; Benjamin F Jones; Benjamin A Olken; Christopher Udry; Markus Goldstein; Abhijit Banerjee; Lakshmi Iyer; Rohini Pande; Christopher Udry; Daron Acemoglu; Daron Acemoglu; Davide Cantoni; Simon Johnson; James A Robinson; Acemoglu; Daron; Georgy Egorov; Konstantin Sonin; Daron Acemoglu; Georgy Egorov; Konstantin Sonin; Alberto Alesina; Dani Rodrik; Hassler Jon; Mora; Sevi; Storlesseten; Kjetil; Fabrizio Zilibotti; Per Krusell; Jose - Rios-Rull; Victor; Roland Benabou; Efe Ok; Acemoglu; Daron; Georgy Egorov; Konstantin Sonin; Salvador Barbera; Matthew Jackson; Avinash Dixit; Gene M Grossman; Faruk Gul; Daron Acemoglu; Daron Acemoglu; James A Robinson; James Mirrlees; Leopoldo Fergusson; Robert Brenner; Daron Acemoglu; Alexander Wolitzky; Michael Chwe; Kaushik Basu; Yoram Barzel; Evsey D Domar; N Lagerlöf; Melissa Dell; Naidu; Noam Suresh; Yuchtman; Peter Evans; Nicola Gennaioli; Ilia Rainer; Stelios Michalopoulos; Elias Papaioannou; Valerie Bockstette; Areendam Chanda; Louis Putterman; Charles Tilly; Nicola Gennaioli; Hans-Joachim Voth; Osafo-Kwaako; James A Philip; Robinson; Raul Sanchez De La Sierra; Daron Acemoglu; Timothy Besley; Torsten Persson; Daron Acemoglu; James A Robinson; Rafael Santos; Daron Acemoglu; Camilo Garcia-Jimeno; James A Robinson; Daron Acemoglu; North; C Douglass; Barry R Weingast; Daron Acemoglu; James A Robinson; William Collins; Robert A Margo; Andreas Madestam; Daniel Shoag; Stan Veuger; David Yanagizawa-Drott; Humberto Llavador; Robert J Oxoby; William Jack; Roger Lagunoff; W Arthur; Brian; Stephen Coate; Stephen E Morris; Scott Page; Daron Acemoglu; James A Robinson; Michael Albertus; Victor Menaldo; Jean-Marie Baland; James A Robinson; Siwan Anderson; Patrick François; Ashok Kotwal; Alessandro Lizzeri; Nicola Persico; Daron Acemoglu; Davide Ticchi; Andrea Vindigni; Patrick François; Ilia Rainer; Francesco Trebbi; Acemoglu; James A Daron; Ragnar Robinson; Torvik; Thomas Piketty; Austen-Smith; David; Timothy Feddersen; Wolfgang Pesendorfer; Mark Fey; J Kim; Bruno Strulovici; Acemoglu; Daron; Georgy Egorov; Konstantin Sonin; Daron Acemoglu; Alexander Wolitzky; Greif; Avner; Guido Tabellini; Guido Tabellini; Luigi Guiso; Paola Sapienza; Luigi Zingales; Luigi Guiso; Paola Sapienza; Luigi Zingales; Raquel Fernandez; Alessandra Fogli; Hans-Joachim Voth; Nico Voigtlander; Daron Acemoglu; Tristan Reed; James Robinson; Hans-Joachim Voth; Shanker Satyanath; Nico Voigtlander; Alberto Bisin; Thierry Verdier; Alberto Bisin; Thierry Verdier; Guido Tabellini; Matthias Doepke; Fabrizio Zilibotti; Daron Acemoglu; Matthew Jackson; Daron Acemoglu; Matthew Jackson; Daron Acemoglu; Michael Golosov; Aleh Tsyvinski; Chris Bidner; Patrick Francois; Georgy Egorov; Konstantin Sonin; James Fearon; Roger Myerson; Gerard Padro-I-Miquel; Pierre Yared; Pablo Querubin; James Snyder; Acemoglu; James A Daron; Thierry Robinson; Verdier; Daron Acemoglu; Davide Cantoni; Simon Johnson; James A Robinson; Bueno De Mesquita; Chris Edmond; Gerard Padro-I-Miguel; Eric Chaney; Chang - Hsieh; Edward Tai; Daniel Miguel; Francisco Ortega; Rodriguez; Susanne Lohmann; Xin Men; Nancy Qian; Pierre Yared; Diego Puga; Daniel Trefler; John E Roemer; Daron Acemoglu; Tarek Hassan; Ahmed Tahoun; Alberto Alesina; Reza Baqir; William Easterly; Alberto Alesina; Eliana La Ferrara; Alberto Alesina; Reza Baqir; Caroline Hoxby; Banerjee; Dilip Abhijit; Kaivan Mookherjee; Debraj Munshi; Ray; Banerjee; Lakshmi Abhijit; Rohini Iyer; Somanathan; Katherine Casey; Rachel Glennerster; Edward Miguel; Christian Dippel; Joan *esteban; Debraj Maria; Ray; Daron Acemoglu; Thierry Verdier; Daron Acemoglu; Thierry Verdier; Avis; Claudio Eric; Frederico Ferraz; Finan; Abhijit Banerjee; Marianne Bertrand; Simeon Djankov; Rema Hanna; Sendhil Mullainathan; Dal Bo; Frederico Ernesto; Martin Finan; Rossi; Claudio Ferraz; Frederico Finan; Claudio Ferraz; Frederico Finan; Ray Fisman; Raymond Fisman; Florian Schulz; Vikrant Vig; Ray Fisman; Yongxiang Wang; Asim Khwaja; Atif Mian; Anne Kreuger; Maxim Mironov; Ekaterina Zhuravskaya; Kevin Murphy; Andrei Sheilfer; Robert Vishny; Roger Myerson; Benjamin Olken; Patrick Barron; Imran Rasul; Daniel Rogger; Ritva Reinikka; Jacob Svennson; Andrei Shleifer; Robert Vishny; Andrei Shleifer; Robert Vishny; Andrei Shleifer; Simeon Djankov; Rafael La Porta; Florencio Lopez-De-Silanes; Jacob Svennson; Daron Acemoglu; Tarek Hassan; James A Robinson; Diermeier; Georgy Daniel; Konstantin Egorov; Sonin; Jha; Saumitra; Jon Hassler; Jose Rodriguez Mora; Kjandetil Storlesseten; Fabrizio Zilibotti; Oded Galor; Omer Moav; Avner Grief; Benjamin Olken; Timothy Besley; Torsten Persson; Christopher Blattman; Edward Miguel; Bo; Ernesto; Pedro Dal; Bo; Melissa Dell; Rafael Ditella; Ernesto Dal; Bo; Pedro Dal; Bo; Oeindrila Dube; Juan F Vargas; Massimo Guidolin; Eliana La Ferrara; Benjamin Lessing,2006,Spring,Yale University,Ricardy
